absurd   absurdalny
abundance   obfitość
abuse   nadużycie
academy   akademia
accelerate   przyspieszyć
acceptance   akceptacja
abolish   znieść
abortion   aborcja
absence   nieobecność
absent   nieobecny
accessible   dostępny
accountability   odpowiedzialność
accountable   odpowiedzialny
accumulate   gromadzić
accumulation   gromadzenie
accusation   oskarżenie
accused   oskarżony
acid   kwas
acquisition   nabycie
acre   akr
activation   aktywacja
activist   aktywista
acute   ostry
adaptation   adaptacja
adhere   przylegać
adjacent   sąsiedni
adjustment   dostosowanie
administer   zarządzać
administrative   administracyjny
administrator   administrator
admission   przyjęcie
adolescent   nastolatek
adverseniekorzystnyadvocate   orędownik
aesthetic   estetyczny
affection   uczucie
aftermath   następstwo
aggression   agresja
agricultural   rolniczy
aide   pomocnik
albeit   chociaż
alert   czujny
alien   obcy
align   wyrównać
alignment   wyrównanie
alike   podobny
allegation   zarzut
allege   zarzucać
allegedly   rzekomo
alliance   sojusz
allocate   przydzielić
allocation   przydział
allowance   zasiłek
ally   sojusznik
aluminium   aluminium
ambassadorambasadoramend   poprawić
amendment   poprawka
amid   pośród
analogy   analogia
anchor   kotwica
angel   anioł
anonymous   anonimowy
apparatus   aparatura
appealing   atrakcyjny
appetite   apetyt
applaud   oklaskiwać
applicable   stosowny
appoint   mianować
appreciation   uznanie
arbitrary   arbitralny
architectural   architektoniczny
archive   archiwum
arena   arena
arguably   dyskusyjnie
arm   ramię
array   szereg
articulate   wyraźny
aspirationaspiracjaaspire   dążyć
assassination   zabójstwo
assault   napaść
assemble   zebrać
assembly   zgromadzenie
assert   twierdzić
assertion   twierdzenie
assurance   zapewnienie
asylum   azyl
atrocity   okrucieństwo
attain   osiągnąć
attendance   obecność
attorney   prawnik
attribute   przypisać
audit   audyt
authentic   autentyczny
authorize   upoważnić
auto   auto
autonomy   autonomia
availability   dostępność
await   czekać
backdrop   tło
backupkopia   zapasowabail kaucja
ballot   głosowanie
banner   baner
bare   goły
barrel   beczka
bass   bas
bat   nietoperz
battlefield   pole bitwy
bay   zatoka
beam   belka
beast   bestia
behalf   w imieniu
beloved   ukochany
bench   ławka
benchmark   wzorzec
beneath   pod
beneficiary   beneficjent
betray   zdradzić
bind   wiązać
biography   biografia
bishop   biskup
bizarre   dziwaczny
blastwybuchbleed   krwawić
blend   mieszanka
bless   błogosławić
blessing   błogosławieństwo
boast   chwalić się
bonus   premia
boom   boom
bounce   odbijać się
boundary   granica
bow   kłaniać się
breach   złamanie
breakdown   awaria
breakthrough   przełom
breed   rasa
broadband   szerokopasmowy
browser   przeglądarka
brutal   brutalny
buck   dolar
buddy   kumpel
buffer   bufor
bulk   masowy
burden   ciężar
burst   wybuch
cabinet   szafka
calculation   obliczenie
canvas   płótno
capability   zdolność
capitalism   kapitalizm
capitalist   kapitalista
cargo   ładunek
carriage   powóz
carve   rzeźbić
casino   kasyno
casualty   ofiara
catalogue   katalog
cater   obsługiwać
cattle   bydło
caution   ostrożność
cautious   ostrożny
cease   zaprzestać
cemetery   cmentarz
chamber   komora
chaos   chaos
characterize   charakteryzować
chronic   przewlekły
chunk   kawałek
circulate   krążyć
circulation   krążenie
citizenship   obywatelstwo
civic   obywatelski
civilian   cywil
clarity   przejrzystość
clash   starcie
classification   klasyfikacja
cling   trzymać się
clinical   kliniczny
closure   zamknięcie
cluster   gromada
coalition   koalicja
coastal   przybrzeżny
cocktail   koktajl
cognitive   poznawczy
coincide   zbiegać się
collaborate   współpracować
collaboration   współpraca
collective   kolektywny
columnist   felietonista
combat   walka
commence   rozpocząć
commentary   komentarz
commentator   komentator
commissioner   komisarz
commodity   towar
communist   komunista
companion   towarzysz
comparable   porównywalny
compassion   współczucie
compel   zmuszać
compelling   przekonujący
compensate   rekompensować
compensation   rekompensata
competence   kompetencja
competent   kompetentny
compile   kompilować
complement   uzupełnienie
complexity   złożoność
compliance   zgodność
comply   stosować się
composition   skład
compromise   kompromis
compute   obliczać
conceal   ukrywać
concede   ustępować
conceive   począć
conception   poczęcie
concession   ustępstwo
condemn   potępiać
confer   naradzać się
confession   spowiedź
configuration   konfiguracja
confine   ograniczać
confirmation   potwierdzenie
confront   konfrontować
confrontation   konfrontacja
congratulate   gratulować
congregation   zgromadzenie
congressional   kongresowy
conquer   podbijać
conscience   sumienie
consciousness   świadomość
consensus   konsensus
consent   zgoda
conservative   konserwatywny
considerate   taktowny
consistency   spójność
consolidate   konsolidować
constituency   elektorat
constitute   stanowić
constitution   konstytucja
constitutional   konstytucyjny
constraint   ograniczenie
consultation   konsultacja
contemplate   rozważać
contempt   pogarda
contend   rywalizować
contender   zawodnik
content   zadowolony
contention   spór
continually   ciągle
contractor   wykonawca
contradiction   sprzeczność
contrary   przeciwny
contributor   współtwórca
convict   skazać
conviction   przekonanie
cooperate   współpracować
cooperative   spółdzielnia
coordinate   koordynować
coordination   koordynacja
coordinator   koordynator
cop   gliniarz
copper   miedź
copyright   prawo autorskie
correction   poprawka
correlate   korelować
correlation   korelacja
correspond   korespondować
correspondence   korespondencja
correspondent   korespondent
